Iteration	Posterior	Likelihood	Prior	m	obs[1]	obs[2]	obs[3]	obs[4]	obs[5]	obs[6]	obs[7]	obs[8]	obs[9]	obs[10]	sd
18900	-27.4618	-23.5498	-3.91202	5.857343	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.175986
19000	-27.2686	-23.3566	-3.91202	5.797472	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.587228
19100	-27.4831	-23.5711	-3.91202	5.765824	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.923887
19200	-27.4891	-23.5771	-3.91202	5.713643	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.922416
19300	-27.7747	-23.8627	-3.91202	5.80336	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.195959
19400	-27.6421	-23.7301	-3.91202	6.13158	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.047778
19500	-28.0016	-24.0895	-3.91202	6.591915	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.163422
19600	-27.8	-23.888	-3.91202	6.545884	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	2.983818
19700	-28.2995	-24.3875	-3.91202	6.557809	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.442055
19800	-28.1091	-24.1971	-3.91202	6.114968	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.432988
19900	-27.9368	-24.0248	-3.91202	5.840037	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.325054
20000	-28.3663	-24.4542	-3.91202	5.926242	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.633058
20100	-28.2587	-24.3467	-3.91202	6.064226	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.547902
20200	-27.8054	-23.8934	-3.91202	6.301414	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.140308
20300	-28.1764	-24.2644	-3.91202	6.261155	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.452888
20400	-27.7964	-23.8844	-3.91202	6.360019	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.105854
20500	-28.6304	-24.7183	-3.91202	6.660162	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.650631
20600	-28.827	-24.915	-3.91202	6.827836	5.7	3.8	3.7	4.7	3.9	12.8	6	6	6	6	3.717399
